o_1 1 a
o_1 5 a
o_1 12 a
o_1 21 a
o_1 23 a
o_1 25 a
o_1 4 b
o_1 7 b
o_1 10 b
o_1 21 b
o_1 24 b
o_1 25 b
o_1 3 c
o_1 7 c
o_1 15 c
o_1 24 c
o_1 26 c
o_1 30 c
o_1 1 d
o_1 8 d
o_1 17 d
o_1 24 d
o_1 32 d
o_2 1 a
o_2 5 a
o_2 12 a
o_2 21 a
o_2 23 a
o_2 25 a
o_2 4 b
o_2 7 b
o_2 10 b
o_2 21 b
o_2 24 b
o_2 25 b
o_2 3 c
o_2 7 c
o_2 15 c
o_2 24 c
o_2 26 c
o_2 30 c
o_2 1 d
o_2 8 d
o_2 12 d
o_2 24 d
o_2 32 d
o_3 1 a
o_3 5 a
o_3 12 a
o_3 21 a
o_3 23 a
o_3 25 a
o_3 4 b
o_3 7 b
o_3 10 b
o_3 18 b
o_3 24 b
o_3 25 b
o_3 3 c
o_3 7 c
o_3 15 c
o_3 24 c
o_3 26 c
o_3 30 c
o_3 1 d
o_3 8 d
o_3 17 d
o_3 24 d
o_3 32 d
o_4 1 a
o_4 5 a
o_4 12 a
o_4 21 a
o_4 23 a
o_4 25 a
o_4 4 b
o_4 7 b
o_4 10 b
o_4 18 b
o_4 24 b
o_4 25 b
o_4 3 c
o_4 7 c
o_4 15 c
o_4 24 c
o_4 26 c
o_4 30 c
o_4 1 d
o_4 8 d
o_4 12 d
o_4 24 d
o_4 32 d
o_5 1 a
o_5 5 a
o_5 12 a
o_5 21 a
o_5 23 a
o_5 25 a
o_5 4 b
o_5 7 b
o_5 10 b
o_5 12 b
o_5 24 b
o_5 25 b
o_5 3 c
o_5 7 c
o_5 15 c
o_5 24 c
o_5 26 c
o_5 30 c
o_5 1 d
o_5 8 d
o_5 17 d
o_5 24 d
o_5 32 d
o_6 1 a
o_6 5 a
o_6 12 a
o_6 21 a
o_6 23 a
o_6 25 a
o_6 4 b
o_6 7 b
o_6 10 b
o_6 12 b
o_6 24 b
o_6 25 b
o_6 3 c
o_6 7 c
o_6 15 c
o_6 24 c
o_6 26 c
o_6 30 c
o_6 1 d
o_6 8 d
o_6 12 d
o_6 24 d
o_6 32 d
o_7 1 a
o_7 5 a
o_7 12 a
o_7 21 a
o_7 23 a
o_7 26 a
o_7 4 b
o_7 7 b
o_7 10 b
o_7 21 b
o_7 24 b
o_7 25 b
o_7 3 c
