o_1 1 a
o_1 5 a
o_1 12 a
o_1 5 b
o_1 7 b
o_1 9 b
o_1 4 c
o_1 7 c
o_1 10 c
o_1 5 d
o_1 8 d
o_1 9 d
o_1 3 e
o_1 7 e
o_1 15 e
o_1 8 f
o_1 10 f
o_1 14 f
o_1 1 g
o_1 8 g
o_1 1 h
o_1 8 h
o_1 16 h
o_2 1 a
o_2 5 a
o_2 12 a
o_2 5 b
o_2 7 b
o_2 9 b
o_2 4 c
o_2 7 c
o_2 10 c
o_2 5 d
o_2 8 d
o_2 9 d
o_2 3 e
o_2 7 e
o_2 15 e
o_2 8 f
o_2 10 f
o_2 14 f
o_2 1 g
o_2 8 g
o_2 12 g
o_2 8 h
o_2 16 h
o_3 1 a
o_3 5 a
o_3 12 a
o_3 5 b
o_3 7 b
o_3 9 b
o_3 4 c
o_3 7 c
o_3 10 c
o_3 2 d
o_3 8 d
o_3 9 d
o_3 3 e
o_3 7 e
o_3 15 e
o_3 8 f
o_3 10 f
o_3 14 f
o_3 1 g
o_3 8 g
o_3 1 h
o_3 8 h
o_3 16 h
o_4 1 a
o_4 5 a
o_4 12 a
o_4 5 b
o_4 7 b
o_4 9 b
o_4 4 c
o_4 7 c
o_4 10 c
o_4 2 d
o_4 8 d
o_4 9 d
o_4 3 e
o_4 7 e
o_4 15 e
o_4 8 f
o_4 10 f
o_4 14 f
o_4 1 g
o_4 8 g
o_4 12 g
o_4 8 h
o_4 16 h
o_5 1 a
o_5 5 a
o_5 12 a
o_5 5 b
o_5 7 b
o_5 9 b
o_5 4 c
o_5 7 c
o_5 10 c
o_5 12 c
o_5 8 d
o_5 9 d
o_5 3 e
o_5 7 e
o_5 15 e
o_5 8 f
o_5 10 f
o_5 14 f
o_5 1 g
o_5 8 g
o_5 1 h
o_5 8 h
o_5 16 h
o_6 1 a
o_6 5 a
o_6 12 a
o_6 5 b
o_6 7 b
o_6 9 b
o_6 4 c
o_6 7 c
o_6 10 c
o_6 12 c
o_6 8 d
o_6 9 d
o_6 3 e
o_6 7 e
o_6 15 e
o_6 8 f
o_6 10 f
o_6 14 f
o_6 1 g
o_6 8 g
o_6 12 g
o_6 8 h
o_6 16 h
o_7 1 a
o_7 5 a
o_7 12 a
o_7 5 b
o_7 7 b
o_7 10 b
o_7 4 c
o_7 7 c
o_7 10 c
o_7 5 d
o_7 8 d
o_7 9 d
o_7 3 e
